word;in documents;total
twitter;186.0;525.0
twname;1.0;1.0
twnutzer;1.0;1.0
twvorname;1.0;1.0
tödlicher;1.0;1.0
türen;1.0;1.0
ud;1.0;1.0
ueber;1.0;1.0
uhr;1.0;1.0
uiazdu;1.0;1.0
uk;1.0;2.0
ultrasonictom;1.0;1.0
um;6.0;6.0
umkvem;1.0;2.0
und;37.0;41.0
unfall;2.0;2.0
unperfekt;2.0;2.0
uns;3.0;3.0
unsere;2.0;2.0
unter;1.0;2.0
unterbelichtetem;1.0;1.0
untericht;1.0;1.0
unterricht;2.0;2.0
unterwegs;1.0;1.0
uschi;1.0;1.0
vacationnati;1.0;2.0
valeria;1.0;1.0
veranstaltung;1.0;1.0
vereinbarung;1.0;1.0
verfolgte;2.0;2.0
verfolgung;10.0;10.0
verkehr;5.0;7.0
verkehrschaos;3.0;3.0
verkehrskollaps;1.0;1.0
verkehrslage;2.0;2.0
verkleidet;1.0;1.0
vermisse;1.0;3.0
verpasst;1.0;1.0
verschissene;1.0;1.0
verschoben;1.0;1.0
verschöner;1.0;1.0
versteigert;1.0;1.0
verstärkt;1.0;1.0
vertrauens;1.0;1.0
verändern;1.0;1.0
victoriahöfe;1.0;1.0
video;2.0;3.0
videoday;1.0;1.0
viel;3.0;3.0
viele;2.0;2.0
vier;2.0;3.0
vjmq;1.0;2.0
vogelsberg;1.0;3.0
voll;1.0;1.0
volltreffer;1.0;1.0
vom;2.0;2.0
von;10.0;10.0
vonoberg;1.0;1.0
voodoohuhu;1.0;1.0
vor;4.0;5.0
vorstand;1.0;3.0
vorverkauf;1.0;1.0
wach;3.0;4.0
waibel;1.0;1.0
wandergasthof;1.0;1.0
wann;1.0;1.0
war;6.0;6.0
waren;1.0;1.0
warten;1.0;1.0
warum;1.0;1.0
was;9.0;9.0
wasserrohrbruch;2.0;2.0
we;1.0;1.0
weber;1.0;1.0
wegen;3.0;3.0
weil;3.0;3.0
weilmels;1.0;1.0
weiter;1.0;1.0
weißen;1.0;1.0
weißt;2.0;2.0
wenig;1.0;1.0
wenigstens;1.0;1.0
wenn;6.0;7.0
werden;5.0;5.0
werder;1.0;3.0
werewolftamer;1.0;1.0
west;1.0;1.0
westfalen;1.0;1.0
wg;1.0;1.0
wgchjoo;1.0;1.0
wie;7.0;7.0
wieder;12.0;13.0
wiesbaden;1.0;1.0
wil;1.0;1.0
wildschwein;1.0;1.0
will;4.0;5.0
wilphilipsen;1.0;1.0
wir;8.0;8.0
wirklich;2.0;2.0
wisentwildnis;1.0;3.0
wo;1.0;1.0
wobei;1.0;1.0
woche;4.0;4.0
wochen;1.0;1.0
wochenende;3.0;5.0
wohnen;12.0;12.0
wohnung;1.0;1.0
woistderalk;2.0;2.0
wolfsburg;1.0;1.0
wow;2.0;2.0
wtf;1.0;1.0
wuerdelos;1.0;1.0
wurst;1.0;1.0
wwdgr;1.0;2.0
www;37.0;37.0
während;2.0;2.0
würde;2.0;2.0
würzburg;1.0;1.0
xaoticca;3.0;3.0
xd;2.0;2.0
xhnc;1.0;2.0
xlk;1.0;1.0
xsmb;1.0;2.0
xvouyg;1.0;2.0
xwlhbe;1.0;2.0
xy;1.0;2.0
yay;1.0;1.0
yayayay;1.0;1.0
yd;1.0;2.0
yg;1.0;2.0
ymc;1.0;2.0
ymhiel;1.0;2.0
ymxl;1.0;2.0
ynj;1.0;2.0
yo;1.0;2.0
yr;1.0;2.0
yylvi;1.0;2.0
zahnbürste;1.0;1.0
zeit;2.0;4.0
zeitung;1.0;2.0
zettel;1.0;1.0
zfq;1.0;2.0
zimmer;2.0;2.0
zjgkrp;1.0;2.0
zjsg;1.0;2.0
zoey;1.0;1.0
zrk;1.0;2.0
zsd;1.0;2.0
zu;11.0;13.0
zuckerwasser;2.0;2.0
zufall;1.0;1.0
zum;7.0;7.0
zur;5.0;5.0
zurück;2.0;2.0
zusammen;2.0;2.0
zutun;1.0;1.0
zwar;1.0;1.0
zwiebelsenf;5.0;5.0
zwingen;1.0;1.0
zwitscherlinge;1.0;2.0
öö;1.0;1.0
über;2.0;2.0
übertreibt;1.0;1.0
üblicherweise;1.0;1.0
ülkemin;1.0;1.0
