;vollschlank;;;;;adjektive;;teltkarcsú
;rundlich;;;;;adjektive;;kerekded, gömbölyded
;stattlich;;;;;adjektive;;daliás, délceg
;sportlich;;;;;adjektive;;sportos
;unvorteilhaft;;;;;adjektive;;elõnytelen
;dünn;;;;;adjektive;;sovány
;mager;;;;;adjektive;;sovány
;hager;;;;;adjektive;;sovány
;mollig;;;;;adjektive;;dundi, molett
;dick;;;;;adjektive;;kövér, vaskos
;fett;;;;;adjektive;;kövér, zsíros
;beleibt;;;;;adjektive;;testes, kövér
;korpulent;;;;;adjektive;;testes
;umfangreich;;;;;adjektive;;terjedelmes
;dickbäuchig;;;;;adjektive;;pocakos
die;Körpergröße;n;;;;nomen;;testmagasság
;klein;;;;;adjektive;;kicsi
;untersetzt;;;;;adjektive;;zömök, köpcös
;niedrig;;;;;adjektive;;alacsony
;mittelgroß;;;;;adjektive;;közepes méretû
;groß;;;;;adjektive;;nagy
das;Haar;e;;;;nomen;;haj
;glänzend;;;;;adjektive;;fényes, ragyogó
;glatt;;;;;adjektive;;sima
;lockig;;;;;adjektive;;göndör
;wellig;;;;;adjektive;;hullámos
;kraus;;;;;adjektive;;göndör, kusza
;naturkraus;;;;;adjektive;;természetes göndör
;dauergewellt;;;;;adjektive;;dauerolt
;voll;;;;;adjektive;;tele, telt
;füllig;;;;;adjektive;;telt
;spärlich;;;;;adjektive;;gyér, ritka
;brüchig;;;;;adjektive;;törékeny
;kurz;;;;;adjektive;;rövid
;shulterlang;;;;;adjektive;;vállig érõ
;kinnlang;;;;;adjektive;;állig érõ
;lang;;;;;adjektive;;hosszú
;hell;;;;;adjektive;;világos
;dunkle;;;;;adjektive;;sötét
;blond;;;;;adjektive;;szõke
;braun;;;;;adjektive;;barna
;schwarz;;;;;adjektive;;fekete
;rot;;;;;adjektive;;piros, vörös
;gefärbt;;;;;adjektive;;festett
;grau;;;;;adjektive;;szürke, õsz
das;Gesicht;er;;;;nomen;;arc
;schmal;;;;;adjektive;;szûk, keskeny
;breit;;;;;adjektive;;tág, széles
;rund;;;;;adjektive;;kerek
;oval;;;;;adjektive;;ovális
;freundlich;;;;;adjektive;;barátságos
;unfreundlich;;;;;adjektive;;barátságtalan
;länglich;;;;;adjektive;;hosszúkás
;herzförmig;;;;;adjektive;;szívalakú
;eckig;;;;;adjektive;;szögletes
;blass;;;;;adjektive;;sápadt
die;Sommersprosse;n;;;;nomen;;szeplõ
der;Pickel;-;;;;nomen;;pattanás
das;Muttermal;e;;;;nomen;;anyajegy
die;Haut;Häute;;;;nomen;;bõr
;geschmeidig;;;;;adjektive;;rugalmas, sima
;sanft;;;;;adjektive;;lágy, halvány
;rosa;;;;;adjektive;;rózsaszín
;gebräunt;;;;;adjektive;;napbarnított
;trocken;;;;;adjektive;;száraz
;fettig;;;;;adjektive;;zsíros
;normal;;;;;adjektive;;normál
;empfindlich;;;;;adjektive;;érzékeny
;straffe;;;;;adjektive;;feszes
;faltig;;;;;adjektive;;ráncos
;strahlend;;;;;adjektive;;fénylõ, ragyogó
;matt;;;;;adjektive;;matt
;welk;;;;;adjektive;;petyhüdt, löttyedt
;rau;;;;;adjektive;;durva, érdes
;leuchtend;;;;;adjektive;;ragyogó
das;Auge;n;;;;nomen;;szem
;tief;;;;;adjektive;;mély, alacsony
;liegend;;;;;adjektive;;fekve, fekvõ
;vorstehend;;;;;adjektive;;kiálló
;blau;;;;;adjektive;;kék
;grün;;;;;adjektive;;zöld
;blaugrau;;;;;adjektive;;kékesszürke
;grüngrau;;;;;adjektive;;zöldesszürke
die;Nase;n;;;;nomen;;orr
;gerade;;;;;adjektive;;egyenes
;krumm;;;;;adjektive;;görbe
die;Stumpfnase;n;;;;nomen;;pisze orr
die;Hakennase;n;;;;nomen;;horgas-, kampós orr
die;Knollennase;n;;;;nomen;;krumpliorr
das;Ohr;en;;;;nomen;;fül
;spitz;;;;;adjektive;;hegyes, csúcsos
;abstehend;;;;;adjektive;;távolálló, elálló
der;Zahn;Zähne;;;;nomen;;fog
;weiß;;;;;adjektive;;fehér
;gelblich;;;;;adjektive;;sárgás
;gesund;;;;;adjektive;;egészséges
;mangelnd;;;;;adjektive;;hiányos
;schief;;;;;adjektive;;ferde, téves
;falsch;;;;;adjektive;;hamis, rossz, téves
der;Zahnersatz;Zahnersätze;;;;nomen;;fogpótlás
