;beschäftigen;;beschäftigte;h. beschäftigt;beschäftige|beschäftigst|beschäftigt|beschäftigen|beschäftigt|beschäftigen;verben;foglalkozni vmivel;2|3
;bescheiden;;;;;adjektive;szerény;1
;bescheren;;bescherte;h. beschert;beschere|bescherst|beschert|bescheren|beschert|bescheren;verben;"ajándékoz; meglep";9
die;Bescherung;en;;;;nomen;"ajándékozás; meglepetés";9
;bescheuert;;;;;adjektive;bolond;1
;bespritzen;;bespritzte;h. bespritzt;bespritze|bespritzt|bespritzt|bespritzen|bespritzt|bespritzen;verben;"lefröcsköl; locsol";0|9
;beständig;;;;;adjektive;"állandó; kitartó";1|2|3
;besuchen;;besuchte;h. besucht;besuche|besuchst|besucht|besuchen|besucht|besuchen;verben;meglátogat;0|1|6|9
der;Betrieb;e;;;;nomen;vállalat;3
der;Betrug;Betruge;;;;nomen;csalás;0|2|3
;betrübt;;;;;adjektive;"szomorú; bánatos";1
;betrügen;;betrog;h. betrogen;betrüge|betrügst|betrügt|betrügen|betrügt|betrügen;verben;"csal; becsap";1|2
;betrügerisch;;;;;adjektive;"csaló; csalóka";1
das;Bett;-;;;;nomen;ágy;7
;bevorzugen;;bevorzugte;h. bevorzugt;bevorzuge|bevorzugst|bevorzugt|bevorzugen|bevorzugt|bevorzugen;verben;előnyben részesít;0|5|6
;beweglich;;;;;adjektive;"mozgékony; mozgatható";1|7
;bewerben;;bewarb;h. beworben;bewerbe|bewirbst|bewirbt|bewerben|bewerbt|bewerben;verben;"pályázik; jelentkezik";2|3
der;Bewerber;-;;;;nomen;"pályázó; jelentkező (férfi)";2|3
die;Bewerberin;nen;;;;nomen;"pályázó; jelentkező (nő)";2|3
die;Bewerbung;en;;;;nomen;"pályázat; kérelem";2|3
die;Beziehung;en;;;;nomen;"összefüggés; kapcsolat";1
das;Bier;e;;;;nomen;sör;0|4
der;Biologe;n;;;;nomen;biológus;3
die;Biologie;;;;;nomen;biológia;2|8
die;Birne;n;;;;nomen;körte;4|10
;bisschen;;;;;adjektive;"kicsit; kissé";0
;bitter;;;;;adjektive;keserű;4
;blass;;;;;adjektive;sápadt;1|8
;blau;;;;;adjektive;kék;0
;blaugrau;;;;;adjektive;kékesszürke;0
;bleiben;;blieb;i. geblieben;bleibe|bleibst|bleibt|bleiben|bleibt|bleiben;verben;marad;0
der;Bleistift;e;;;;nomen;ceruza;2
;blond;;;;;adjektive;szőke;1
;blöde;;;;;adjektive;"bamba; bárgyú";1
der;Blutsverwandte;n;;;;nomen;vérrokon;1
die;Bohne;n;;;;nomen;bab;4
;borniert;;;;;adjektive;korlátolt;1
;braten;;briet;h. gebraten;brate|brätst|brät|braten|bratet|braten;verben;húst süt;4
das;Brathähnchen;-;;;;nomen;sült csirke;4
die;Bratwurst;Bratwürste;;;;nomen;sült kolbász;4
;braun;;;;;adjektive;barna;0
die;Braut;Bräute;;;;nomen;menyasszony;1|9
die;Brautentführung;en;;;;nomen;menyasszony szöktetés;1|9
der;Brautführer;-;;;;nomen;vőfély;1|9
das;Brautgeschenk;e;;;;nomen;nászajándék;1|9
der;Bräutigam;e;;;;nomen;vőlegény;1|9
das;Brautkleid;er;;;;nomen;menyasszonyi ruha / vőlegény ruha;1|9|10
der;Brautkranz;Brautkränze;;;;nomen;menyasszonyi koszorú;1|9
die;Brautmutter;Brautmütter;;;;nomen;örömanya;1|9
das;Brautpaar;e;;;;nomen;jegyesek;1|9
der;Brautring;e;;;;nomen;jeggyűrű;1|9
der;Brautschleier;-;;;;nomen;fátyol (menyasszonyi);1|9
der;Brautstrauß;Brautstraüße;;;;nomen;menyasszonyi csokor;1|9
der;Brauttanz;Brauttänze;;;;nomen;menyasszonyi tánc;1|9
der;Brautvater;Brautväter;;;;nomen;örömapa;1|9
;breit;;;;;adjektive;"tág; széles";0|5
das;Brief;e;;;;nomen;levél;0
der;Briefträger;-;;;;nomen;"postás; levélhordó";3
die;Brille;n;;;;nomen;szemüveg;0
;bringen;;brachte;h. gebracht;bringe|bringst|bringt|bringen|bringt|bringen;verben;"hoz; visz";0|5
der;Brokkoli;s;;;;nomen;brokkoli;4|10
das;Brot;e;;;;nomen;kenyér;4|10
der;Brotkorb;Brotkörbe;;;;nomen;kenyérkosár;4|10
das;Brötchen;-;;;;nomen;zsemle;4|10
der;Bruder;Brüder;;;;nomen;fiútestvér;1
;brüchig;;;;;adjektive;törékeny;1|8
der;Buntstift;e;;;;nomen;színes ceruza;2
der;Busfahrer;-;;;;nomen;buszsofőr;3|5
die;Butter;-;;;;nomen;vaj;4|10
;büffeln;;büffelte;h. gebüffelt;büffele|büffelst|büffelt|büffeln|büffelt|büffeln;verben;magol;2
der;Charakter;e;;;;nomen;"jellem; karakter";1
der;Chef;s;;;;nomen;"szakács; főnök";2|3
die;Chemie;;;;;nomen;kémia;2
der;Chemiker;-;;;;nomen;"vegyész; gyógyszerész";3|8
der;Chili;;;;;nomen;erős paprika;4|10
die;Christnacht;Christnächte;;;;nomen;karácsony éjjele;9
;clever;;;;;adjektive;ügyes;1|3
die;Cola;s;;;;nomen;kóla;4|8|10
;cool;;;;;adjektive;"király; klassz; kiváló";0
der;Cousin;s;;;;nomen;unokatestvér (fiú);1
die;Cousine;n;;;;nomen;unokatestvér (lány);1
das;Curry;s;;;;nomen;curry;4|10
der;Dachdecker;-;;;;nomen;tetőfedő;3
die;Dattel;n;;;;nomen;datolya;4|10
;dauergewellt;;;;;adjektive;dauerolt;1
das;Dessert;s;;;;nomen;desszert;4
die;Dessertgabel;n;;;;nomen;dessert villa;4
;diamanten;;;;;adjektive;gyémánt;0
;dick;;;;;adjektive;"kövér; vaskos";1|8
;dickbäuchig;;;;;adjektive;pocakos;1
das;Diplom;e;;;;nomen;diploma;2|3
das;Direktorenzimmer;-;;;;nomen;igazgatói iroda;2
;diszipliniert;;;;;adjektive;fegyelmezett;1|2|3
;doof;;;;;adjektive;"bugyuta; buta";1
das;Dorf;Dörfer;;;;nomen;falu;0|5
;draufgängerisch;;;;;adjektive;"rámenős; nyomulós";1
;dreigängig;;;;;adjektive;háromfogásos;4
der;Drilling;e;;;;nomen;hármasikrek;1
;dritte Zähne;;;;;nomen;műfogsor;0|1
;dumm;;;;;adjektive;"buta; ostoba";1|2
;dunkle;;;;;adjektive;sötét;0
der;Durchschnittsmensch;en;;;;nomen;átlagember;1
;durchtrainiert;;;;;adjektive;kigyúrt;1
;durstig;;;;;adjektive;szomjas;4
die;Dusche;n;;;;nomen;zuhany;7
;dünn;;;;;adjektive;sovány;1
;dünsten;;dünstete;h. gedünstet;dünste|dünstest|dünstet|dünsten|dünstet|dünsten;verben;"párol; dinsztel";4|8
;dynamisch;;;;;adjektive;dinamikus;0|9
;eckig;;;;;adjektive;szögletes;0
die;Ehe;en;;;;nomen;házasság;1|9
die;Ehefrau;en;;;;nomen;feleség;1|9
der;Ehemann;Ehemänner;;;;nomen;férj;1|9
die;Ehering;e;;;;nomen;jeggyűrű;1|9
die;Eheschließung;en;;;;nomen;házasságkötés;1|9
;ehrlich;;;;;adjektive;"becsületes; őszinte";1|2|3
das;Ei;er;;;;nomen;tojás;4
das;Eigenheim;e;;;;nomen;családi ház;1|7
die;Eigenschaft;en;;;;nomen;tulajdonság;0|1
;einfältig;;;;;adjektive;"együgyü; buta";1
der;Eingang;Eingänge;;;;nomen;bejárat;0|5|7
;eingebildet;;;;;adjektive;beképzelt;1
das;Einkommen;-;;;;nomen;"jövedelem; bevétel";0|3
;einladen;;lud ein;h. eingeladen;lade ein|lädst ein|lädt ein|laden ein|ladet ein|laden ein;verben;"meghív; bepakol";0
die;Einschulung;n;;;;nomen;iskolába küldés;2|5
das;Einzelkind;er;;;;nomen;egyke;1
das;Eis;;;;;nomen;fagylalt;4
die;Eltern;;;;;nomen;szülők;1
der;Empfang;Empfänge;;;;nomen;fogadás;1
;empfangen;;empfing;h. empfangen;empfange|empfängst|empfängt|empfangen|empfangt|empfangen;verben;"fogad; vesz";0
;empfindlich;;;;;adjektive;érzékeny;1
;energisch;;;;;adjektive;"erélyes; energikus";1|2|3
der;Enkel;-;;;;nomen;fiúunoka;1
die;Enkelin;nen;;;;nomen;lányunoka;1
der;Enkelsohn;Enkelsöhne;;;;nomen;fiúunoka;1
die;Enkeltochter;Enkeltöchter;;;;nomen;lányunoka;1
;entfernt;;;;;adjektive;távoli;0|6
die;Erdbeere;n;;;;nomen;eper;4|10
